desc_entidad, tasa_incidencia_delictiva	
Estados Unidos Mexicanos, 36420.17
Aguascalientes, 36806.08
Baja California, 42769.15
Baja California Sur, 28193.46
Campeche, 26375.90
Coahuila de Zaragoza, 24178.13
Colima, 25954.09
Chiapas, 17389.87
Chihuahua, 32005.86
Ciudad de México, 54075.07
Durango, 24404.67
Guanajuato, 32571.63
Guerrero, 40183.30
Hidalgo, 23240.69
Jalisco, 41836.23
México, 60353.66
Michoacán de Ocampo, 23501.05
Morelos, 39014.68
Nayarit, 27818.59
Nuevo León, 31583.61
Oaxaca, 23916.15
Puebla, 31535.17
Querétaro, 28346.91
Quintana Roo, 36748.43
San Luis Potosí, 32943.44
Sinaloa, 29001.22
Sonora, 39019.74
Tabasco, 31519.81
Tamaulipas, 24396.47
Tlaxcala, 28881.32
Veracruz de Ignacio de la Llave, 22276.68
Yucatán, 25881.70
Zacatecas, 25920.85
